id,label,candidategivenname,candidatefamilyname,issittingmp,isformermp,isstandingascommonsspeaker,isstandingasindependent,isnotionalpoliticalpartyaggregate,votecount,votechange,iswinningcandidacy,democracyclubpersonidentifier,inelection,ofmember,havinggender
8515,beep,Thomas,Haddow,false,false,false,false,false,4224,-0.041506,false,,1544,,1
8530,beep,Heather,Herbert,false,false,false,false,false,3052,-0.063514,false,,1547,,2
8547,beep,Marna,Gilligan,false,false,false,false,false,1397,0.014617,false,,1551,,2
8567,beep,Matthew,Pennycook,true,true,false,false,false,30185,-0.076036,true,,1554,331,1
8581,beep,Richard Christian,Ings,false,false,false,false,false,609,,false,,1556,,1
8596,beep,Bella,Jessop,false,false,false,false,false,946,,false,,1559,,2
8614,beep,James,Keyse,false,false,false,false,false,974,,false,,1562,,1
8630,beep,Judith,Rogerson,false,false,false,false,false,20287,0.121745,false,,1566,,2
8654,beep,Peter,Chowney,false,false,false,false,false,22853,-0.0413,false,,1571,,1
8670,beep,Mike,Penning,true,true,false,false,false,28968,0.015382,true,,1575,354,1
8688,beep,Zaid,Marham,false,false,false,false,false,5698,-0.103644,false,,1578,,1
8701,beep,John,Humphries,false,false,false,false,false,1653,0.012719,false,,1581,,1
8726,beep,Matthew,Kirk,false,false,false,false,false,7314,0.06066,false,,1586,,1
8747,beep,Christopher,Howarth,false,false,false,false,false,13095,0.031822,false,,1590,,1
8769,beep,Samuel,Sweek,false,false,false,false,false,13003,-0.088932,false,,1593,,1
8784,beep,Sam,Tarry,false,false,false,false,false,35085,-0.10227,true,,1596,963,1
8794,beep,Lewis,Whyte,false,false,false,false,false,4123,-0.086743,false,,1598,,1
8810,beep,Caroline,Russell,false,false,false,false,false,4326,0.039821,false,,1601,,2
8827,beep,Nick,Oliver,false,false,false,false,false,11243,0.025968,false,,1604,,1
8854,beep,Philip,Hollobone,true,true,false,false,false,29787,0.024228,true,,1608,393,1
8866,beep,James,Giles,false,false,false,true,false,458,,false,,1610,,1
8884,beep,Emma,Hardy,true,true,false,false,false,13384,-0.103812,true,,1613,862,2
8898,beep,Rushi,Millns,false,false,false,false,false,4432,-0.011914,false,,1616,,2
8907,beep,Gary,McCleave,false,false,false,false,false,1098,-0.010697,false,,1617,,1
8923,beep,Jack,Holland,false,false,false,false,false,2343,0.025243,false,,1620,,1
8937,beep,Stewart,Harper,false,false,false,false,false,13222,0.071753,false,,1623,,1
8958,beep,Jonathan,Ashworth,true,true,false,false,false,33606,-0.065385,true,,1626,418,1
8971,beep,Leon,Peters,false,false,false,false,false,448,-0.049836,false,,1628,,1
8980,beep,Mark,Barber,false,false,false,true,false,152,,false,,1630,,1
8986,beep,Katherine,Hortense,false,false,false,false,false,213,-0.002021,false,,1631,,2
9020,beep,Sally,Pattle,false,false,false,false,false,4393,0.041701,false,,1636,,2
9037,beep,Mick,Coyne,false,false,false,false,false,501,,false,,1639,,1
9061,beep,Ellie,Green,false,false,false,false,false,9153,-0.092138,false,,1644,,2
9076,beep,Ben,Foley,false,false,false,false,false,995,0.014138,false,,1647,,1
9093,beep,Dan,Wilkinson,false,false,false,false,false,9448,-0.038251,false,,1650,,1
9104,beep,Shaden,Jaradat,false,false,false,false,false,7734,0.006215,false,,1653,,1
9120,beep,Ben,Bradley,true,true,false,false,false,31484,0.172595,true,,1656,873,1
9144,beep,Ann,Kelly,false,false,false,false,false,536,-0.002282,false,,1660,,2
9182,beep,Lauren,Dingsdale,false,false,false,false,false,16509,-0.12982,false,,1668,,2
9167,beep,Denise,Johnston,false,false,false,false,false,6384,0.045354,false,,1665,,2
9196,beep,Hannah,O'Neill,false,false,false,false,false,25067,-0.057462,false,,1671,,2
9198,beep,Des,Coke,false,false,false,false,false,216,8.8e-05,false,,1672,,1
9225,beep,David,Morris,true,true,false,false,false,23925,0.051147,true,,1677,483,1
9229,beep,Owen,Lambert,false,false,false,false,false,2328,0.014167,false,,1677,,1
9249,beep,Daniel,Williams,false,false,false,false,false,4495,-0.017161,false,,1681,,1
9266,beep,Steve,Masters,false,false,false,false,false,2454,0.015741,false,,1685,,1
9276,beep,Nick,Hartley,false,false,false,false,false,2195,0.032484,false,,1687,,1
9292,beep,Mike,Hamilton,false,false,false,false,false,2121,0.032223,false,,1690,,1
9307,beep,Anne Marie,Morris,true,true,false,false,false,29190,0.000863,true,,1693,501,2
9452,beep,Gareth,Eales,false,false,false,false,false,16217,-0.04328,false,,1724,,1
