id,given_name,family_name,mnis_id,label
1105,Chris,Mole,1475,"Mole, Chris"
1106,Malcolm,Rifkind,1191,"Rifkind, Malcolm"
1107,Phil,Sawford,353,"Sawford, Phil"
1108,Roger,Berry,219,"Berry, Roger"
1109,Gordon,Brown,591,"Brown, Gordon"
1110,George,Mudie,414,"Mudie, George"
1111,Peter,Soulsby,1592,"Soulsby, Peter"
1112,Parmjit,Gill,1172,"Gill, Parmjit"
1113,Joan,Ruddock,190,"Ruddock, Joan"
1114,Andy,Reed,341,"Reed, Andy"
1115,Peter,Tapsell,348,"Tapsell, Peter"
1116,Christopher,Gill,273,"Gill, Christopher"
1117,Dai,Havard,1430,"Havard, Dai"
1118,Annette,Brooke,1431,"Brooke, Annette"
1119,Martin,McGuinness,651,"McGuinness, Martin"
1120,Peter,Luff,268,"Luff, Peter"
1121,Stuart,Bell,501,"Bell, Stuart"
1122,David,Hamilton,1432,"Hamilton, David"
1123,Phyllis,Starkey,19,"Starkey, Phyllis"
1124,Lembit,Opik,559,"Opik, Lembit"
1125,Geraldine,Smith,471,"Smith, Geraldine"
1126,Peter,Hain,567,"Hain, Peter"
1127,Patrick,Mercer,1435,"Mercer, Patrick"
1128,Conor,Murphy,1595,"Murphy, Conor"
1129,Robert,Walter,244,"Walter, Robert"
1130,Menzies,Campbell,627,"Campbell, Menzies"
1131,James,Arbuthnot,56,"Arbuthnot, James"
1132,Dan,Norris,221,"Norris, Dan"
1133,Daniel,Byles,4112,"Byles, Daniel"
1134,George,Young,57,"Young, George"
1135,Brian,Binley,1550,"Binley, Brian"
1136,Charles,Clarke,130,"Clarke, Charles"
1137,Annabelle,Ewing,1443,"Ewing, Annabelle"
1138,Phil,Woolas,453,"Woolas, Phil"
1139,Evan,Harris,96,"Harris, Evan"
1140,Gordon,Prentice,472,"Prentice, Gordon"
1141,Linda,Gilroy,233,"Gilroy, Linda"
1142,Sarah,McCarthy-Fry,1553,"McCarthy-Fry, Sarah"
1143,Ian,Swales,4045,"Swales, Ian"
1144,Vera,Baird,1445,"Baird, Vera"
1145,Jacqui,Smith,269,"Smith, Jacqui"
1146,William,Hague,379,"Hague, William"
1147,Susan,Kramer,1557,"Kramer, Susan"
1148,Paul,Rowen,1558,"Rowen, Paul"
1149,Sandra,Gidley,60,"Gidley, Sandra"
