id,procedure_statutory_instrument_name,statutory_instrument_number,statutory_instrument_number_prefix,statutory_instrument_number_year,coming_into_force_note,coming_into_force_date,made_date,web_link,triple_store_id,acts_string,preceding_work_packaged_thing_string
4885,Oldham (Electoral Changes) Order 2022,,SI,2022,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2022/9780348235357,fegyIDTR,949,
2579,Legal Services Act 2007 (Approved Regulator) Order 2020,,SI,2020,,2020-04-06 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2020/9780111192016,zEIbFST4,847,
4769,British Nationality Act 1981 (Remedial) Order 2019,,SI,2019,,,,https://www.legislation.gov.uk/ukdsi/2019/9780111186756,vbqpsFrg,1324,4759
6449,Management of Hedgerows (England) Regulations 2024,,SI,2024,Coming into force in accordance with regulation 1(1),,,https://www.legislation.gov.uk/ukdsi/2024/9780348260472,zxHOs4H0,1230,
1619,Waste and Environmental Protection (Amendment) (Northern Ireland) (EU Exit) Regulations 2019,,SI,2019,in accordance with regulation 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2019/9780111188217,FfTn8bwz,1,
1815,Community Drivers' Hours Offences (Enforcement) Regulations 2017,,SI,2017,,,,https://www.legislation.gov.uk/ukdsi/2017/9780111160022,vhSUhexy,"503, 2419",
5974,Wine (Revocation and Consequential Provision) Regulations 2023,,SI,2023,,2024-01-01 00:00:00+00,,https://www.legislation.gov.uk/ukdsi/2023/9780348252903,bX4dFA3z,17808,
5429,National Minimum Wage (Amendment) Regulations 2023,,SI,2023,,2023-04-01 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2023/9780348244168,LaizDbDO,427,
3524,Customs Safety and Security Procedures (EU Exit) Regulations 2020,,SI,2020,in accordance with regulation 1(2),,,https://www.legislation.gov.uk/ukdsi/2020/9780348215908,0SCfj8g5,1,
6972,Non-Domestic Rating (Levy and Safety Net) (Amendment) Regulations 2025,,SI,2025,,,,https://www.legislation.gov.uk/ukdsi/2025/9780348268515,tiLXfJCu,397,
5704,Agriculture and Horticulture Development Board (Amendment) Order 2023,,SI,2023,In accordance with article 1(1),,,https://www.legislation.gov.uk/ukdsi/2023/9780348248630,VZfwZVMe,1012,
3250,Consumer Protection (Enforcement) (Amendment etc.) (EU Exit) Regulations 2020,,SI,2020,in accordance with regulation 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2020/9780348211979,QtkVjEU8,"1, 2419",
935,Securitisation (Amendment) (EU Exit) Regulations 2019,,SI,2019,in accordance with regulation 1(2) and (3).,,,https://www.legislation.gov.uk/ukdsi/2019/9780111179024,nQrMQggb,1,
4954,Stockton-on-Tees (Electoral Changes) Order 2022,,SI,2022,in accordance with article 1(2) and (3).,,,https://www.legislation.gov.uk/ukdsi/2022/9780348236293,2DNXKBlh,949,
5341,Legislative Reform (Renewal of Radio Licences) Order 2020,,SI,2020,in accordance with article 1,,,https://www.legislation.gov.uk/ukdsi/2020/9780348209310,AQLD6mGU,1179,
2961,Competition Appeal Tribunal (Coronavirus) (Recording and Broadcasting) Order 2020,,SI,2020,,,,https://www.legislation.gov.uk/ukdsi/2020/9780348208788,mbO210gO,1316,
5067,Guildford (Electoral Changes) Order 2022,,SI,2022,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2022/9780348237825,5WzzetDi,949,
5187,Transport and Works (Guided Transport Modes) (Amendment) Order 2022,,SI,2022,,,,https://www.legislation.gov.uk/ukdsi/2022/9780348240085,FP6d4H5z,823,
5696,Healthcare (International Arrangements) (EU Exit) Regulations 2023,,SI,2023,In accordance with regulation 1(2),,,https://www.legislation.gov.uk/ukdsi/2023/9780348248548,ZZTqp6Ts,1354,
1639,Financial Services (Miscellaneous) (Amendment) (EU Exit) (No. 3) Regulations 2019,,SI,2019,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2019/9780111188576,TJBiCLC7,"1282, 1, 2419",
7253,Sentencing Act 2020 (Amendment of Schedule 21) Regulations 2025,,SI,2025,,,,https://www.legislation.gov.uk/ukdsi/2025/9780348273212,dCUQKhDy,7,
303,International Road Transport Permits (EU Exit) Regulations 2018,,SI,2018,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2018/9780111172728,vWSvjJPY,1096,
1137,Market Measures Payment Schemes (Amendment) (EU Exit) Regulations 2019,,SI,2019,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2019/9780111181119,VADMkluG,1,
2924,Contracts for Difference (Electricity Supplier Obligations) (Amendment) (Coronavirus) Regulations 2020,,SI,2020,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2020/9780111196663,gz4yD5yP,863,
3399,REACH etc. (Amendment etc.) (EU Exit) Regulations 2020,,SI,2020,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2020/9780348213300,vQqXvHT3,1,
585,Energy Efficiency (Private Rented Property) (England and Wales) (Amendment) Regulations 2018,,SI,2018,,2019-04-01 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2018/9780111175217,zC4xiFJs,62,
3928,Electricity Trading (Development of Technical Procedures) (Day-Ahead Market Timeframe) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348221824,0Frg3472,12,
754,Defence and Security Public Contracts (Amendment) (EU Exit) Regulations 2019,,SI,2019,,,,https://www.legislation.gov.uk/ukdsi/2019/9780111176764,wbB5TStp,"1, 2419",
6518,Vehicle Drivers (Certificates of Professional Competence) (Amendment) Regulations 2024,,SI,2024,,,,https://www.legislation.gov.uk/ukdsi/2024/9780348261486,EZpmHeMc,12,
119,Offshore Combustion Installations (Pollution Prevention and Control) (Amendment) Regulations 2018,,SI,2018,in accordance with regulation 1.,,,https://www.legislation.gov.uk/ukdsi/2018/9780111168783,TuBqZl6z,1272,
6269,Non-Domestic Rating (Rates Retention: Miscellaneous Amendments) Regulations 2024,,SI,2024,,,,https://www.legislation.gov.uk/ukdsi/2024/9780348257717,yTF6ZP3S,397,
4832,Pharmacy (Preparation and Dispensing Errors ? Hospital and Other Pharmacy Services) Order 2022,,SI,2022,in accordance with article 1,,,https://www.legislation.gov.uk/ukdsi/2022/9780348234671,lW2kjThs,1270,
225,West Midlands Combined Authority (Adult Education Functions) Order 2018,,SI,2018,in accordance with article 1.,,,https://www.legislation.gov.uk/ukdsi/2018/9780111171608,j0R3vR5s,949,
4578,Social Security Benefits Up-rating Order 2022,,SI,2022,in accordance with article 1(3) and (4),,,https://www.legislation.gov.uk/ukdsi/2022/9780348231151,YFD1NBDC,528,
6564,Gloucestershire (Electoral Changes) Order 2024,,SI,2024,"In accordance with article 1(2), (3), (4) and (5)",,,https://www.legislation.gov.uk/ukdsi/2024/9780348262582,awjT4AdA,949,
6803,Oxfordshire (Electoral Changes) Order 2025,,SI,2025,"In accordance with article 1(2), (3), (4) and (5)",,,https://www.legislation.gov.uk/ukdsi/2025/9780348265705,vQh4Ukgc,949,
6579,Carbon Dioxide Transport and Storage (Determination of Turnover for Penalties) Regulations 2024,,SI,2024,In accordance with regulation 1(1),,,https://www.legislation.gov.uk/ukdsi/2024/9780348262780,PLwHhWl8,18398,
1502,Child Support (Miscellaneous Amendments) Regulations 2019,,SI,2019,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2019/9780111186855,NHSKHHLc,"608, 79, 528, 308",
1673,Criminal Justice Act 2003 (Early Release on Licence) Order 2019,,SI,2019,,2020-01-06 00:00:00+00,,https://www.legislation.gov.uk/ukdsi/2019/9780111188910,EpCeVMfc,842,
6717,Medical Devices (Post-market Surveillance Requirements) (Amendment) (Great Britain) Regulations 2024,,SI,2024,,,,https://www.legislation.gov.uk/ukdsi/2024/9780348264593,yfSlbV0P,24,
2993,Community Infrastructure Levy (Coronavirus) (Amendment) (England) Regulations 2020,,SI,2020,,,,https://www.legislation.gov.uk/ukdsi/2020/9780348209044,MbZwXfBV,946,
