ec_id,link to ec page,name,,In MNIS,MNIS ID 1,MNIS Name 1,MNIS ID 2,MNIS Name 2,MNIS ID 3,MNIS Name 3,MNIS ID 4,MNIS Name 4
PPm12923,PPm12923,Independent for Newmarket,GB,No,,,,,,,,
PP293,PP293,Independent Green Voice,GB,No,,,,,,,,
PP44,PP44,Independent Kidderminster Hospital and Health Concern,GB,Yes,99,ICHC (see MNIS tab notes),,,,,,
PP2136,PP2136,Independent Labour Group,GB,No,,,,,,,,
PP811,PP811,INDEPENDENT Leave-the-EU Alliance,GB,No,,,,,,,,
PP812,PP812,INDEPENDENT Leave-the-EU Alliance,NI,No,,,,,,,,
PP1873,PP1873,Independent Libertarian Network,GB,No,,,,,,,,
PP128,PP128,Independent Loughton Residents Association,GB,No,,,,,,,,
PP2108,PP2108,Independent Loxford,GB,No,,,,,,,,
PP1951,PP1951,Independent Network,GB,yes,1028,Independent Network,,,,,,
PP4072,PP4072,Independent Network,NI,yes,1028,Independent Network,,,,,,
PP864,PP864,Independent People Together,GB,No,,,,,,,,
PP761,PP761,Independent Save Our Green Belt,GB,No,,,,,,,,
PP7984,PP7984,Independent Union,GB,No,,,,,,,,
PP830,PP830,Independent Voice for Halifax,GB,No,,,,,,,,
PP252,PP252,Independents @ Swansea,GB,No,,,,,,,,
PP824,PP824,Independents Federation UK,GB,Yes,100,IFED,,,,,,
PPm2784,PPm2784,Independents for Seaford,GB,No,,,,,,,,
PP1720,PP1720,Independents in Hyndburn,GB,No,,,,,,,,
PP673,PP673,Independents of North Yorkshire,GB,No,,,,,,,,
PP5287,PP5287,Inpnaean Party,GB,No,,,,,,,,
PP6869,PP6869,Integrity,GB,No,,,,,,,,
PP816,PP816,Integrity UK,GB,Yes,103,Integrity UK ,,,,,,
PP2152,PP2152,Interactive Democracy,GB,No,,,,,,,,
PP14057,PP14057,Irish Republican Socialist Party,NI,No,,,,,,,,
PP1705,PP1705,Irish Republican Socialist Party,NI,No,,,,,,,,
PP883,PP883,It's Our County (Herefordshire),GB,No,,,,,,,,
PP1888,PP1888,iXDemocracy,GB,No,,,,,,,,
PP1889,PP1889,iXDemocracy,NI,No,,,,,,,,
PP868,PP868,Jannen will put Brent North First,GB,No,,,,,,,,
PP2095,PP2095,Jubilee Party,GB,No,,,,,,,,
PP746,PP746,Jury Team,GB,No,,,,,,,,
PP747,PP747,Jury Team,NI,No,,,,,,,,
PP2176,PP2176,Kaizen Liberal Utilitarian Democrats,GB,No,,,,,,,,
PP795,PP795,Keep Bucks Blue,GB,No,,,,,,,,
PP2577,PP2577,Keep It Real Party,GB,Yes,243,Keep It Real Party,,,,,,
PP2265,PP2265,Keep Our St Helier Hospital Party,GB,No,,,,,,,,
PP542,PP542,Kent Campaign Against Increasing Council Taxes,GB,No,,,,,,,,
PP6302,PP6302,Kingston Independent Residents Group,GB,No,,,,,,,,
PP53,PP53,Labour Party,GB,Yes,15,Labour,27,Scottish Labour,28,Scottish Labour Party,,
PP434,PP434,Labour Party of Northern Ireland,NI,Yes,15,Labour,,,,,,
PP794,PP794,Land Party,GB,Yes,219,Land Party,108,Land power,,,,
PP695,PP695,Left List,GB,No,,,,,,,,
PP696,PP696,Left List,NI,No,,,,,,,,
PP2045,PP2045,Left Unity,GB,Yes,186,Left Unity,188,Left Unity - Trade Unionists and Socialists,,,,
PP7919,PP7919,Leigh & Atherton Independents,GB,No,,,,,,,,
PP90,PP90,Liberal Democrats,GB,Yes,17,Liberal Democrat,,,,,,
PP780,PP780,Liberators,GB,No,,,,,,,,
PP684,PP684,Libertarian Party,GB,Yes,1003,Libertarian Party,109,Libertaria,,,,
PP685,PP685,Libertarian Party,NI,Yes,1003,Libertarian Party,109,Libertaria,,,,
PP2032,PP2032,Liberty GB,GB,Yes,178,Liberty GB,,,,,,
PP1986,PP1986,Life,GB,No,,,,,,,,
PP733,PP733,Lincolnshire Independents Lincolnshire First,GB,Yes,110,Lincs Ind,,,,,,
PP4038,PP4038,Link Party,GB,No,,,,,,,,
PP801,PP801,Local Liberals People Before Politics Party,GB,Yes,111,LLPBPP,,,,,,
PP2036,PP2036,Local Voice,GB,No,,,,,,,,
PP9095,PP9095,Londependence,GB,No,,,,,,,,
PP12772,PP12772,London Real Party,GB,No,,,,,,,,
PP2617,PP2617,Macclesfield First,GB,No,,,,,,,,
PP491,PP491,Magna Carta Conservation Party Great Britain,GB,Yes,215,Magna Carta Conservation Party Great Britain,,,,,,
PP802,PP802,Mainstream Party,GB,No,,,,,,,,
PP2264,PP2264,Make Willesden Green,GB,No,,,,,,,,
PP504,PP504,Mansfield Independents,GB,No,,,,,,,,
PP2650,PP2650,Manston Airport Independent Party,GB,Yes,232,Manston Airport Independent Party,,,,,,
PP2049,PP2049,Marylebone Residents,GB,No,,,,,,,,
PP876,PP876,Matriarchal Party United Kingdom Great Britain,GB,No,114,LTT,,,,,,
PP2287,PP2287,Mexborough First,GB,No,,,,,,,,
PP2314,PP2314,Mitcham Independent Party,GB,No,,,,,,,,
PP4215,PP4215,Monarchy is Slavery End Monarchy Slavery,GB,No,,,,,,,,
PP6387,PP6387,Money Free Party,GB,Yes,269,Money Free Party,,,,,,
PP23,PP23,Morecambe Bay Independents,GB,No,,,,,,,,
PP1861,PP1861,Motorcycle Alliance,GB,No,,,,,,,,
PP481,PP481,Movement for Active Democracy (M.A.D.),GB,Yes,96,GMVY (See note in MNIS tab),,,,,,
PP193,PP193,Nantwich Independent Party,GB,No,,,,,,,,
PP1713,PP1713,National Flood Prevention Party,GB,No,,,,,,,,
PP117,PP117,National Front,GB,Yes,122,NF,,,,,,
PP118,PP118,National Front,NI,Yes,122,NF,,,,,,
PP1931,PP1931,National Health Action Party,GB,Yes,123,NHA,201,National Health Action Party,,,,
PP12868,PP12868,National Housing Party United Kingdom,GB,No,,,,,,,,
PP32,PP32,National Liberal Party - True Liberalism,GB,Yes,125,NLP,,,,,,
PP1913,PP1913,New Dawn,GB,No,,,,,,,,
PP2695,PP2695,New Dawn,GB,No,,,,,,,,
PP2698,PP2698,New Dawn,NI,No,,,,,,,,
PP2141,PP2141,New Deal,GB,No,,,,,,,,
PP1975,PP1975,New Democracy,GB,No,,,,,,,,
PP905,PP905,Newcastle Independents,GB,No,,,,,,,,
PP867,PP867,Newclear Outline (NO),GB,No,,,,,,,,
PP763,PP763,Newid,GB,No,,,,,,,,
PP313,PP313,Newmarket Independents Party,GB,No,,,,,,,,
PP2090,PP2090,NI21,NI,No,,,,,,,,
PP1954,PP1954,nine eleven was an inside job,GB,Yes,124,Nine11,,,,,,
PP2164,PP2164,NO2EU,GB,No,,,,,,,,
PP744,PP744,No2EU:Yes to Democracy,GB,No,,,,,,,,
PP5297,PP5297,North of England Community Alliance,GB,Yes,282,North of England Community Alliance,,,,,,
PP2301,PP2301,North Somerset First Independents,GB,No,,,,,,,,
PP756,PP756,Northampton - Save Our Public Services,GB,Yes,130,NSOPS,,,,,,
PP6656,PP6656,Northamptonshire Independents,GB,No,,,,,,,,
PP12589,PP12589,Northern Heart,GB,No,,,,,,,,
PP12743,PP12743,Northern Independence Party,GB,Yes,1049,Northern Independence,,,,,,
PP4070,PP4070,Northern Ireland First,NI,No,,,,,,,,
PP1791,PP1791,Northumbria Party - The North East Party,GB,No,,,,,,,,
PP2328,PP2328,Northwood Hills Community Champions,GB,No,,,,,,,,
PP2195,PP2195,NOTA,GB,No,,,,,,,,
PP6649,PP6649,Nottingham Independents,GB,No,,,,,,,,
PP1960,PP1960,Nottinghamshire Independent Forum,GB,No,,,,,,,,
PP890,PP890,Nottinghamshire Independents,GB,No,,,,,,,,
PP6848,PP6848,Nova Forte,GB,No,,,,,,,,
PP2242,PP2242,Old Swan Against the Cuts,GB,No,,,,,,,,
PP887,PP887,One England,GB,No,,,,,,,,
PP512,PP512,One London,GB,No,,,,,,,,
PP6743,PP6743,Our Nation,GB,No,,,,,,,,
PPm12674,PPm12674,Our Ryde,GB,No,,,,,,,,
PP2642,PP2642,Our West Lancashire,GB,No,,,,,,,,
PP2691,PP2691,Oxfordshire Independent Party,GB,No,,,,,,,,
PP3978,PP3978,Oxted & Limpsfield Residents Group,GB,No,,,,,,,,
PP2715,PP2715,Party of Dissent,GB,No,,,,,,,,
PP1969,PP1969,Patria,GB,Yes,194,Patria,,,,,,
PP383,PP383,Pensioners Party,GB,No,,,,,,,,
PP2054,PP2054,Pensioners Peoples Party (PPP),GB,No,,,,,,,,
PP789,PP789,People Before Profit,GB,Yes,,,,,,,,
PP773,PP773,People Before Profit Alliance,NI,Yes,177,PBPA,,,,,,
PP1732,PP1732,People First - Gwerin Gyntaf,GB,Yes,245,People First - Gwerin Gyntaf,,,,,,
PP6616,PP6616,People First - Gwerin Gyntaf,GB,Yes,245,People First - Gwerin Gyntaf,,,,,,
PP437,PP437,People First Party,GB,No,,,,,,,,
PP2634,PP2634,People Social Freedom Party,GB,No,,,,,,,,
PP1934,PP1934,People's Democratic Party,GB,Yes,131,PDP,,,,,,
PP813,PP813,People's Front of Liberation Tigers,GB,No,,,,,,,,
PP618,PP618,People's Voice,GB,No,,,,,,,,
PP859,PP859,Peoples Party Essex,GB,Yes,92,Essex,,,,,,
PP1831,PP1831,Perth Independent Candidates Party,GB,No,,,,,,,,
PP897,PP897,Peterborough Independents,GB,No,,,,,,,,
PP2161,PP2161,PiP,GB,No,,,,,,,,
PP770,PP770,Pirate Party UK,GB,Yes,132,Pirate,,,,,,
PP77,PP77,Plaid Cymru - The Party of Wales,GB,Yes,22,Plaid Cymru,,,,,,
PP1948,PP1948,PLC Party,GB,No,,,,,,,,
PP721,PP721,PLC Party,GB,No,,,,,,,,
PP11468,PP11468,Political Unity for Progress,GB,No,,,,,,,,
PP14089,PP14089,Poole Engage Party,GB,No,,,,,,,,
PP2563,PP2563,Population Party UK,GB,Yes,210,Population Party UK,,,,,,
PP196,PP196,Populist Party,GB,Yes,270,Populist Party,,,,,,
PP3914,PP3914,Populist Party,GB,Yes,270,Populist Party,,,,,,
PP6793,PP6793,Portishead Independents,GB,No,,,,,,,,
PP10253,PP10253,Portsmouth Independent Party,GB,No,,,,,,,,
PP561,PP561,PPPILA,GB,No,,,,,,,,
PP3921,PP3921,Prerogatives Party,GB,No,,,,,,,,
PP742,PP742,Pro Democracy: Libertas.eu,GB,No,,,,,,,,
PP1963,PP1963,Pro Liberty,GB,No,,,,,,,,
PP2263,PP2263,Progressive Party,GB,No,,,,,,,,
PP8036,PP8036,Progressive Party,GB,No,,,,,,,,
PP2196,PP2196,Promise,GB,No,,,,,,,,
PP12731,PP12731,Propel,GB,No,,,,,,,,
PP2071,PP2071,Protestant Coalition,NI,No,,,,,,,,
PP6655,PP6655,Psychedelic Movement,GB,Yes,1047,Psychedelic Movement,1022,Psychedelic Future Party,,,,
PP767,PP767,Put an Honest Man into Parliament,GB,No,,,,,,,,
PP185,PP185,Putting Croydon First!,GB,Yes,246,Putting Croydon First!,,,,,,
PP238,PP238,Rainham Independent Residents Association,GB,No,,,,,,,,
PP771,PP771,RAW UK,GB,No,,,,,,,,
PP4007,PP4007,Rayleigh Independents,GB,No,,,,,,,,
PP2674,PP2674,Rebooting Democracy,GB,Yes,195,Rebooting Democracy,,,,,,
PP2343,PP2343,Red Flag - Anti-Corruption,GB,Yes,193,Red Flag - Anti-Corruption,,,,,,
PP799,PP799,Reduce Tax On Beer,GB,Yes,63,Beer,,,,,,
PP2012,PP2012,Reform,GB,No,,,,,,,,
PP7931,PP7931,Reform UK,GB,Yes,1036,Reform UK,,,,,,
PP6316,PP6316,Regional Party,GB,No,,,,,,,,
PP11423,PP11423,Rejoin EU,GB,Yes,1040,Rejoin EU,,,,,,
PP820,PP820,REPRESENT,NI,No,,,,,,,,
PP2167,PP2167,Republican Network For Unity,NI,No,,,,,,,,
PP74,PP74,Residents Associations of Epsom and Ewell,GB,No,,,,,,,,
PP9049,PP9049,Residents for Guildford and Villages,GB,No,,,,,,,,
PP2468,PP2468,Residents for Uttlesford,GB,Yes,251,Residents for Uttleford,,,,,,
PP361,PP361,Residents' Association of London,GB,No,,,,,,,,
PP6357,PP6357,Resolve,GB,No,,,,,,,,
PP6358,PP6358,Resolve,NI,No,,,,,,,,
PP836,PP836,Restoration Party,GB,Yes,137,Restoration Party,,,,,,
PP837,PP837,Restoration Party,NI,Yes,137,Restoration Party,,,,,,
PP2662,PP2662,Restore the Family For Children's Sake,GB,Yes,253,Restore the Family for Children's Sake,,,,,,
PP12925,PP12925,Resurrection,GB,No,,,,,,,,
PP4117,PP4117,Revolution UK,GB,No,,,,,,,,
PP89,PP89,Revolutionary Communist Party Britain (Marxist-Leninist),GB,No,,,,,,,,
PP265,PP265,Richmondshire Independents,GB,No,,,,,,,,
PP2871,PP2871,"RISE - Respect, Independence, Socialism and Environmentalism",GB,No,,,,,,,,
PP341,PP341,Rochford District Residents,GB,No,,,,,,,,
PPm2656,PPm2656,Romsley Together,GB,No,,,,,,,,
PP14030,PP14030,Royal Tunbridge Wells Residents Party,GB,No,,,,,,,,
PP1783,PP1783,Royalist Party,GB,No,,,,,,,,
PPm12988,PPm12988,Royston Town Party,GB,No,,,,,,,,
PP2042,PP2042,Sandown Independents,GB,No,,,,,,,,
PP903,PP903,Sandwell Traditional Independent Party,GB,No,,,,,,,,
PP2581,PP2581,Save Hartlepool Hospital,GB,Yes,214,SHH,,,,,,
PP872,PP872,Save King George Hospital,GB,Yes,146,SKGH,,,,,,
PP2172,PP2172,Save King George Hospital Party,GB,No,,,,,,,,
PP2016,PP2016,Save Your Services,GB,No,,,,,,,,
PP6852,PP6852,Scotland - Unhyphenated,GB,No,,,,,,,,
PP768,PP768,Scottish Democratic Alliance,GB,No,,,,,,,,
PP2619,PP2619,Scottish Democratic Meritocracy Party,GB,No,,,,,,,,
PP2832,PP2832,Scottish Democrats,GB,No,,,,,,,,
