id,title,weblink,enabledby,triplestoreid
433,Heavy Goods Vehicles (Charging for the Use of Certain Infrastructure on the Trans-European Road Network) (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-heavy-goods-vehicles-charging-for-the-use-of-certain-infrastructure-on-the-trans-european-road-network-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,seZP85ix
434,European Economic Interest Grouping (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-european-economic-interest-grouping-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,3K60aw5t
435,"Companies, Limited Liability Partnerships and Partnerships (Amendment etc.) (EU Exit) Regulations 2018",https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-companies-limited-liability-partnerships-and-partnerships-amendment-etc-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,BeKcYcYY
436,European Network of Employment Services (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-european-network-of-employment-services-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,vzPPsPoL
437,European Public Limited-Liability Company (Amendment etc.) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-european-public-limited-liability-company-amendment-etc-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,0ISUSY3S
446,Employment Rights (Amendment) (Northern Ireland) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-employment-rights-amendment-northern-ireland-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,PQ8MHMis
447,Employment Rights (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-employment-rights-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,GMECtmXL
455,"Livestock (Records, Identification and Movement) (England) (Amendment) (EU Exit) Regulations 2018",https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-livestock-records-identification-and-movement-england-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,zHapB4FD
465,Fertilisers and Ammonium Nitrate Material (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-fertilisers-and-ammonium-nitrate-material-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,MJbzeY0B
466,"Official Controls (Animals, Feed and Food) (England) (Amendment) (EU Exit) Regulations 2018",https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-official-controls-animals-feed-and-food-england-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,seNtNYq3
477,"Companies, Limited Liability Partnerships and Partnerships (Amendment etc.) (EU Exit) Regulations 2018",https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-companies-limited-liability-partnerships-and-partnerships-amendment-etc-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,zxkB2bjk
484,Bank of England (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-bank-of-england-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,cw9PK2en
487,Exotic Disease (Amendment etc.) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-exotic-disease-amendment-etc-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,pguSEEQM
