id,title,royalassentdate,year,chapternumber,legislationgovuri,dataparliamenturi,triplestoreid
75,Policing and Crime Act 2009,2009-11-12,2009,26,https://www.legislation.gov.uk/id/ukpga/2009/26,http://data.parliament.uk/pimsdata/PublicGeneralAct/8402,mjeUqLfg
76,Gas Act 1995,1995-11-08,1995,45,https://www.legislation.gov.uk/id/ukpga/1995/45,http://data.parliament.uk/pimsdata/PublicGeneralAct/4508,scgaDsW3
77,Northern Ireland (Miscellaneous Provisions) Act 2006,2006-07-25,2006,33,https://www.legislation.gov.uk/id/ukpga/2006/33,http://data.parliament.uk/pimsdata/PublicGeneralAct/7382,BiS8SeEZ
78,European Union (Accessions) Act 2006,2006-02-16,2006,2,https://www.legislation.gov.uk/id/ukpga/2006/2,http://data.parliament.uk/pimsdata/PublicGeneralAct/7182,ODUPQAfV
79,Child Maintenance and Other Payments Act 2008,2008-06-05,2008,6,https://www.legislation.gov.uk/id/ukpga/2008/6,http://data.parliament.uk/pimsdata/PublicGeneralAct/7960,GbeFZkHu
80,Estates of Deceased Persons (Forfeiture Rule and Law of Succession) Act 2011,2011-07-12,2011,7,https://www.legislation.gov.uk/id/ukpga/2011/7,http://data.parliament.uk/pimsdata/PublicGeneralAct/9102,a8tfnuhk
81,Compensation Act 2006,2006-07-25,2006,29,https://www.legislation.gov.uk/id/ukpga/2006/29,http://data.parliament.uk/pimsdata/PublicGeneralAct/7378,n8TZWr1J
82,Consolidated Fund Act 1995,1995-03-23,1995,2,https://www.legislation.gov.uk/id/ukpga/1995/2,http://data.parliament.uk/pimsdata/PublicGeneralAct/4559,PJKzUxPq
83,Building Societies (Joint Account Holders) Act 1995,1995-05-01,1995,5,https://www.legislation.gov.uk/id/ukpga/1995/5,http://data.parliament.uk/pimsdata/PublicGeneralAct/4555,oHFnALQy
84,Armed Forces Act 1991,1991-07-25,1991,62,https://www.legislation.gov.uk/id/ukpga/1991/62,http://data.parliament.uk/pimsdata/PublicGeneralAct/6485,I6e3ugfI
85,Dangerous Dogs Act 1991,1991-07-25,1991,65,https://www.legislation.gov.uk/id/ukpga/1991/65,http://data.parliament.uk/pimsdata/PublicGeneralAct/6482,SNWqvFN3
86,Home Energy Conservation Act 1995,1995-06-28,1995,10,https://www.legislation.gov.uk/id/ukpga/1995/10,http://data.parliament.uk/pimsdata/PublicGeneralAct/4550,sZ9z8TpB
87,Agricultural Tenancies Act 1995,1995-05-09,1995,8,https://www.legislation.gov.uk/id/ukpga/1995/8,http://data.parliament.uk/pimsdata/PublicGeneralAct/4553,QwVZj5fW
88,Education (Schools) Act 1997,1997-07-31,1997,59,https://www.legislation.gov.uk/id/ukpga/1997/59,http://data.parliament.uk/pimsdata/PublicGeneralAct/4356,SUxE3oTu
89,Appropriation (No. 2) Act 1997,1997-07-31,1997,57,https://www.legislation.gov.uk/id/ukpga/1997/57,http://data.parliament.uk/pimsdata/PublicGeneralAct/4354,LZlC5S69
90,Commonwealth Development Corporation Act 1995,1995-06-28,1995,9,https://www.legislation.gov.uk/id/ukpga/1995/9,http://data.parliament.uk/pimsdata/PublicGeneralAct/4549,NNuHEX4o
91,Jobseekers Act 1995,1995-06-28,1995,18,https://www.legislation.gov.uk/id/ukpga/1995/18,http://data.parliament.uk/pimsdata/PublicGeneralAct/4548,W8ZQDt4V
92,Activity Centres (Young Persons Safety) Act 1995,1995-06-28,1995,15,https://www.legislation.gov.uk/id/ukpga/1995/15,http://data.parliament.uk/pimsdata/PublicGeneralAct/4545,oWjtydho
93,Criminal Justice Act 1991,1991-07-25,1991,53,https://www.legislation.gov.uk/id/ukpga/1991/53,http://data.parliament.uk/pimsdata/PublicGeneralAct/6494,LwDpWrPG
94,Carers (Recognition and Services) Act 1995,1995-06-28,1995,12,https://www.legislation.gov.uk/id/ukpga/1995/12,http://data.parliament.uk/pimsdata/PublicGeneralAct/4542,yVv3nWC5
95,Consolidated Fund (No. 2) Act 1997,1997-12-17,1997,67,https://www.legislation.gov.uk/id/ukpga/1997/67,http://data.parliament.uk/pimsdata/PublicGeneralAct/4345,NVmRcqTu
96,Education (Student Loans) Act 1998,1998-01-27,1998,1,https://www.legislation.gov.uk/id/ukpga/1998/1,http://data.parliament.uk/pimsdata/PublicGeneralAct/4344,Fx7ChR6S
97,Consolidated Fund Act 1998,1998-03-18,1998,4,https://www.legislation.gov.uk/id/ukpga/1998/4,http://data.parliament.uk/pimsdata/PublicGeneralAct/4341,uxqsfrOD
