id,label,triplestoreid,treatyseriescitation,treatyseries,treaty
632,Portugal No. 1 (2021),sxkE9cjI,Portugal No. 1 (2021),1,4305
633,Albania No. 2 (2021),FvVDzJW7,Albania No. 2 (2021),1,4304
634,Switzerland No. 4 (2021),yXBRJKQ4,Switzerland No. 4 (2021),1,4329
635,Antigua and Barbuda No.1 (2021),wSaw9f5v,Antigua and Barbuda No.1 (2021),1,4337
637,Albania No.3 (2021),QWxBMbNA,Albania No.3 (2021),1,4362
640,Ukraine No. 1 (2021),91SUyaMN,Ukraine No. 1 (2021),1,4447
641,Kenya No. 1 (2021),A66b7cEy,Kenya No. 1 (2021),1,4456
643,France No. 1 (2022),tRp5xRqq,France No. 1 (2022),1,4612
644,France No. 2 (2022),Hxz5LDKR,France No. 2 (2022),1,4626
645,Serbia No. 1 (2022),4AsDg9Eg,Serbia No. 1 (2022),1,4665
648,Singapore No. 1 (2022),JAbXCQZK,Singapore No. 1 (2022),1,4720
649,Canada No. 1 (2022),NEyXoQFr,Canada No. 1 (2022),1,4838
650,France No. 3 (2022),kIOI7lzl,France No. 3 (2022),1,4868
653,Switzerland No. 1 (2022),P9fywKTA,Switzerland No. 1 (2022),1,4959
654,Australia No.1 (2022),aGLMEYhA,Australia No.1 (2022),1,4956
659,New Zealand No. 1 (2022),1tBu4yvH,New Zealand No. 1 (2022),1,5197
660,Switzerland No. 2 (2022),ukyQAEzS,Switzerland No. 2 (2022),1,5287
662,Italy No.1 (2023),enytRIQF,Italy No.1 (2023),1,5391
663,Georgia No. 1 (2023),6ZlebeMj,Georgia No. 1 (2023),1,5454
664,Japan No. 1 (2023),lZUV6URc,Japan No. 1 (2023),1,5460
665,Ukraine No.1 (2023),UFlv9Nnk,Ukraine No.1 (2023),1,5468
670,France No. 1 (2023),2cRAHWqI,France No. 1 (2023),1,5613
671,Spain No. 1 (2023),2kpLV5ZX,Spain No. 1 (2023),1,5636
672,Ukraine No. 2 (2023),BxHuY1ly,Ukraine No. 2 (2023),1,5662
673,North Macedonia No. 1 (2023),BMcpjOaq,North Macedonia No. 1 (2023),1,5682
674,Ukraine No. 3 (2023),7T9hMirA,Ukraine No. 3 (2023),1,5683
675,Norway No. 1 (2020),xBnEe0Fa,Norway No. 1 (2020),1,3403
676,Australia No.1 (2019),Fr90djFk,Australia No.1 (2019),1,1196
677,Germany No. 1 (2026),xcdbELgw,Germany No. 1 (2026),1,7529
678,Viet Nam (No. 1) 2026,tNrLd3lw,Viet Nam (No. 1) 2026,1,7530
683, Brazil No.1 (2026),W7EkDCIQ, Brazil No.1 (2026),1,7563
684,India No. 1 (2026),87lPyT6a,India No. 1 (2026),1,5706
685,Ukraine No. 1 (2026),Eju51S0B,Ukraine No. 1 (2026),1,7589
686,India No. 2 (2026),BBO5o9q6,India No. 2 (2026),1,7629
