id,triplestoreid,publicationname,publicationurl
1001,QqoKlqAp,House of Commons Written Statements ,https://questions-statements.parliament.uk/written-statements?Page=1&House=Commons&Expanded=True
1004,7uzejsjp,Secondary Legislation Scrutiny Committee oral evidence transcripts ,https://committees.parliament.uk/committee/255/secondary-legislation-scrutiny-committee/publications/oral-evidence/
1005,TxVTWmJw,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1006,a0qJzYR0,Lords Hansard ,https://hansard.parliament.uk/lords
1007,AWokFR8y,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
1008,XadOAmAn,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
1009,urxFaj4N,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
1010,VkrWdJYi,Lords Hansard ,https://hansard.parliament.uk/lords 
1011,dYBXQgdB,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
1012,805F7CQv,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
1013,p0bxE3MN,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
1014,wXuyxuu2,Commons Hansard ,https://hansard.parliament.uk/commons
1015,IPyrOz1A,Lords Hansard ,https://hansard.parliament.uk/lords
1016,qPLQkL3k,House of Commons Written Statements ,https://questions-statements.parliament.uk/written-statements?Page=1&House=Commons&Expanded=True
1017,kV9SGf3y,legislation.gov.uk,https://www.legislation.gov.uk/
1021,2vQkLGHG,European Affairs Committee responses ,https://committees.parliament.uk/committee/516/european-affairs-committee/publications/reports-responses/
1022,Fysk0o4k,European Affairs Committee non-inquiry scrutiny,https://committees.parliament.uk/committee/516/european-affairs-committee/work/2/?committeebusinesstypeslug=noninquiry-session
1023,3uYFpK1I,European Affairs Committee inquiries ,https://committees.parliament.uk/committee/516/european-affairs-committee/work/inquiries/?status=any
1024,m0sLDfWp,House of Lords Written Statements ,https://questions-statements.parliament.uk/written-statements?Page=1&House=Lords&Expanded=True
1027,zpnkXshK,Government's Official Documents ,http://www.official-documents.gov.uk/
1031,jGNMHGqG,Joint Committee on Human Rights reports ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/publications/
1035,0GOf2kQZ,Joint Committee on Human Rights responses,https://committees.parliament.uk/committee/93/human-rights-joint-committee/publications/
1042,OkKWpSiz,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1043,kPbCCxj9,House of Lords Written Statements ,https://questions-statements.parliament.uk/written-statements?Page=1&House=Lords&Expanded=True
1049,JyczgGPE,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
1052,prlzyNLX,House of Lords Business pages ,https://lordsbusiness.parliament.uk/
1053,bAOrftXf,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
1054,kFmrEE6z,House of Lords Minutes,https://lordsbusiness.parliament.uk/
1055,5d53LN90,Lords Hansard ,https://hansard.parliament.uk/lords 
1056,vrR2szG6,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
1057,YQSDQt0r,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
1058,QuadYBDi,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
1059,p30uIyg2,House of Lords Business pages,https://lordsbusiness.parliament.uk/
1060,NYOtKVOx,House of Lords Minutes,https://lordsbusiness.parliament.uk/
1061,1MbZmSTx,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
1062,KgTAM96x,Lords Hansard ,https://hansard.parliament.uk/lords
1064,SiUdd3tH,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
1065,WlmjiRVg,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
1066,gTMkcMkx,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1067,v9kysU0L,Legislation.gov.uk,https://www.legislation.gov.uk/
1068,u1OGdtUc,House of Lords Business website ,https://lordsbusiness.parliament.uk/
1069,r2vMahUr,House of Lords Business website ,http://lordsbusiness.parliament.uk/
1071,76jZgxAv,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1072,rlVr4AnD,Secondary Legislation Scrutiny Committee reports,https://committees.parliament.uk/committee/255/secondary-legislation-scrutiny-committee/
1073,f5gRM1S7,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1074,HTacvegL,House of Lords Minute,https://lordsbusiness.parliament.uk/
1075,H37FTD3v,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1076,9oElGht7,Egg-timer,
1077,9mp1vGmm,SLSC produced clock table (See SI Service folder),
1078,HiuFOfgC,House of Lords Minute,https://lordsbusiness.parliament.uk/
1079,goxFmHG4,Legislation.gov.uk,http://www.legislation.gov.uk
1080,SbLLAtDV,Legislation.gov.uk,https://www.legislation.gov.uk/
1081,n4EXlniD,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1082,H23lJzkS,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1083,oaVGzuy0,EU Withdrawal Act 2018 statutory instruments page on gov.uk,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments
1084,BIunINRH,House of Lords Business website ,https://lordsbusiness.parliament.uk/
1085,IvbOpsna,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1086,URqQ9IUG,House of Lords Business website ,https://lordsbusiness.parliament.uk/
1087,G4QVK07u,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1088,qD5pGH5e,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1091,FtkIgMaJ,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1092,3piO64NH,International Trade Committee reports ,https://committees.parliament.uk/committee/367/international-trade-committee/
1093,Ypdx9HVy,European Union Committee reports,https://committees.parliament.uk/committee/176/european-union-committee/
1094,dK5HVyNB,Commons Order Paper ,https://commonsbusiness.parliament.uk/search?SearchTerm=Order+Paper
1095,r6uhpCiY,Legislation.gov.uk,https://www.legislation.gov.uk/
1096,iSycfhk9,legislation.gov.uk,https://www.legislation.gov.uk/
1097,yfZaabVC,International Trade Committee reports ,https://committees.parliament.uk/committee/367/international-trade-committee/
1098,KG19RfyD,Joint Committee on Human Rights,https://committees.parliament.uk/committee/93/human-rights-joint-committee/
1099,pp1ER9cD,Joint Committee on Human Rights reports ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/
1100,DXgznu2o,International Trade Committee reports ,https://committees.parliament.uk/committee/367/international-trade-committee/
1101,qVOUjNgS,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1104,XQBnq0IU,International Agreements Committee reports ,https://committees.parliament.uk/committee/448/international-agreements-committee/
1105,3iU7YTkM,International Agreements Committee reports ,https://committees.parliament.uk/committee/448/international-agreements-committee/
1106,Rf9VaN3K,International Agreements Committee reports ,https://committees.parliament.uk/committee/448/international-agreements-committee/
1107,iDUGEsI0,Secondary Legislation Scrutiny Committee reports ,https://committees.parliament.uk/committee/255/secondary-legislation-scrutiny-committee/
1108,D8Z7fKuL,Secondary Legislation Scrutiny Committee reports,https://committees.parliament.uk/committee/255/secondary-legislation-scrutiny-committee/
1109,IM1xgIhq,European Affairs Committee reports ,https://committees.parliament.uk/committee/516/european-affairs-committee/
1110,7XpIsvvY,European Affairs Committee reports ,https://committees.parliament.uk/committee/516/european-affairs-committee/
1111,SPVUOzs9,European Affairs Committee reports ,https://committees.parliament.uk/committee/516/european-affairs-committee/
1112,s8TroQbY,International Agreements Committee reports ,https://committees.parliament.uk/committee/448/international-agreements-committee/
1113,HKQbpv9L,European Affairs Committee reports ,https://committees.parliament.uk/committee/516/european-affairs-committee/publications/
1114,h71wZKVR,Joint Committee on Human Rights reports ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/publications/
1115,0YaMmGlh,Joint Committee on Human Rights reports ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/publications/
1116,xIMyjp4h,Joint Committee on Human Rights reports ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/publications/
1117,Q3vXiOkf,Joint Committee on Human Rights reports,https://committees.parliament.uk/committee/93/human-rights-joint-committee/publications/
1118,25enJ86C,Joint Committee on Human Rights reports ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/publications/
1119,ZcXI0oUu,Joint Committee on Human Rights reports ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/publications/
1120,DbTlM0XC,Joint Committee on Human Rights reports ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/publications/
1121,F6JVa0GJ,European Union Committee reports ,https://committees.parliament.uk/committee/176/european-union-committee/publications/
1123,nvQJ60mu,Joint Committee on Human Rights reports ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/publications/
1124,ExbBBwL8,Joint Committee on Human Rights reports ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/publications/
1125,YYtyOM4N,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
1127,tbPjluFS,Delegated Powers and Regulatory Reform Committee webpage,https://committees.parliament.uk/committee/173/delegated-powers-and-regulatory-reform-committee/
1128,tdedoNG5,Egg-timer,https://api.parliament.uk/egg-timer/
1129,leBN8PP0,Egg-timer,https://api.parliament.uk/egg-timer/
1130,Addrsfip,DPRRC Oral evidence,https://committees.parliament.uk/committee/173/delegated-powers-and-regulatory-reform-committee/publications/oral-evidence/
1131,RY6wx1mK,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1132,aBcg78a4,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1133,QSF1GVbh,Votes & Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1134,MzIp3lv0,Date the motion was not moved,https://hansard.parliament.uk/commons
1135,WfV7N3XO,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1136,6LY1c0L7,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1137,s3uYkLRa,Commons Hansard,https://hansard.parliament.uk/Commons
1138,uGZ7QdGN,"Business, Energy and Industrial Strategy Committee reports ",https://committees.parliament.uk/committee/365/business-energy-and-industrial-strategy-committee/publications/
1139,c266NXnu,"Business, Energy and Industrial Strategy Committee reports ",https://committees.parliament.uk/committee/365/business-energy-and-industrial-strategy-committee/publications/
1140,cr13AvRp,"Business, Energy and Industrial Strategy Committee reports ",https://committees.parliament.uk/committee/365/business-energy-and-industrial-strategy-committee/publications/
1141,tE8LimCX,"Business, Energy and Industrial Strategy Committee reports ",https://committees.parliament.uk/committee/365/business-energy-and-industrial-strategy-committee/publications/
1142,02URdLKm,Regulatory Reform Committee reports,https://committees.parliament.uk/committee/131/regulatory-reform/publications/
1143,24dCRCRA,Regulatory Reform Committee reports,https://committees.parliament.uk/committee/131/regulatory-reform/publications/
1144,AYyGnIK0,Regulatory Reform Committee reports,https://committees.parliament.uk/committee/131/regulatory-reform/publications/
1145,T5IBUJrS,Lords Business,https://lordsbusiness.parliament.uk/
1146,iRHWS9KI,Lords Business,https://lordsbusiness.parliament.uk/
1147,NBwP4gyf,Lords Business,https://lordsbusiness.parliament.uk/
1148,tt5VylQP,Lords Hansard,https://hansard.parliament.uk/Lords
1149,FUmalElX,Lords Hansard,https://hansard.parliament.uk/Lords
1150,zHEpD3CP,Lords Business,https://lordsbusiness.parliament.uk/
1151,kG2P65mN,Lords Business,https://lordsbusiness.parliament.uk/
1152,yxgJfHBT,Delegated Powers and Regulatory Reform Committee reports ,https://committees.parliament.uk/committee/173/delegated-powers-and-regulatory-reform-committee/publications/
1153,yFcQTReq,https://committees.parliament.uk/committee/173/delegated-powers-and-regulatory-reform-committee/publications/,https://committees.parliament.uk/committee/173/delegated-powers-and-regulatory-reform-committee/publications/
1154,9j3zFsbi,Delegated Powers and Regulatory Reform Committee reports ,https://committees.parliament.uk/committee/173/delegated-powers-and-regulatory-reform-committee/publications/
1155,m2xncuCh,Delegated Powers and Regulatory Reform Committee website,https://committees.parliament.uk/committee/173/delegated-powers-and-regulatory-reform-committee/publications/
