id,label,workpackagedaycount,areclocksinworkpackagefrozen,triplestoreid,subjectto,proceduralworkpackagehascalculationstyle,proceduralworkpackagefocus
5361,Work package for Environmental Targets (Fine Particulate Matter) (England) Regulations 2022,,false,7irRNarw,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5361
5362,Work package for Environmental Targets (Marine Protected Areas) Regulations 2022,,false,kUxY7sA7,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5362
5363,Work package for Environmental Targets (Residual Waste) (England) Regulations 2022,,false,l3Ljp5kN,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5363
5364,Work package for Environmental Targets (Woodland and Trees Outside Woodland) (England) Regulations 2022,,false,l5iet6q1,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5364
5382,Work package for Packaging Waste (Data Reporting) (England) Regulations 2023,,false,SKsoepFD,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5382
5383,Work package for Authority to Carry Scheme and Civil Penalties Regulations 2023,,false,QSCiR6Jf,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5383
5393,Work package for Alcoholic Beverages (Amendment) (England) Regulations 2023,,false,CvjFHHUT,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5393
5394,Work package for Mesothelioma Lump Sum Payments (Conditions and Amounts) (Amendment) Regulations 2023,,false,BAdtBSrB,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5394
5395,Work package for Pneumoconiosis etc. (Workers' Compensation) (Payment of Claims) (Amendment) Regulations 2023,,false,0p2cuktV,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5395
5403,Work package for Guaranteed Minimum Pensions Increase Order 2023,,false,uR6ZFKrI,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5403
5404,"Work package for Tax Credits, Child Benefit and Guardian?s Allowance Up-rating Regulations 2023",,false,Z8Hk48dS,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5404
5405,"Work package for Social Security (Contributions) (Rates, Limits and Thresholds Amendments and National Insurance Funds Payments) Regulations 2023",,false,ew5P5h33,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5405
5406,Work package for Benefit Cap (Annual Limit) (Amendment) Regulations 2023,,false,TgxMXHrW,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5406
5407,Work package for Social Security Benefits Up-rating Order 2023,,false,swPhAX9k,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5407
5411,Work package for Radio Equipment (Amendment) (Northern Ireland) Regulations 2023,,false,aHQ8mOSj,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5411
5413,Work package for International Fund for Agricultural Development (Twelfth Replenishment) Order 2023,,false,ryFIOoKV,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5413
5416,Work package for Judicial Pensions (Fee-Paid Judges) (Amendment) Regulations 2023,,false,PyHCteKK,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5416
5417,Work package for Higher-Risk Buildings (Key Building Information etc.) (England) Regulations 2023,,false,1wcpbgv9,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5417
5424,Work package for Postponement of Local Elections (Northern Ireland) Order 2023,,false,ft5dgHJP,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5424
5428,"Work package for Occupational Pension Schemes (Administration, Investment, Charges and Governance) and Pensions Dashboards (Amendment) Regulations 2023",,false,lgFl9qVQ,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5428
5429,Work package for National Minimum Wage (Amendment) Regulations 2023,,false,unwNs9cJ,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5429
5431,Work package for Agriculture (Financial Assistance) (Amendment) Regulations 2023,,false,K76MN1ui,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5431
5432,Work package for Direct Payments to Farmers (Reductions) (England) Regulations 2023,,false,DGozFhti,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5432
5433,Work package for Airports Slot Allocation (Alleviation of Usage Requirements) Regulations 2023,,false,kHNOQNOo,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5433
5435,Work package for Special Immigration Appeals Commission (Procedure) (Amendment) Rules 2023,,false,ozXJBsi4,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5435
5438,Work package for Major Sporting Events (Income Tax Exemption) (Women?s Finalissima Football Match) Regulations 2023,,false,s4gvNVC2,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5438
5439,Work package for Medical Devices and Blood Safety and Quality (Fees Amendment) Regulations 2023,,false,0NZ6Ubex,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5439
5446,Work package for Criminal Justice Act 2003 (Home Detention Curfew) Order 2023,,false,309lIMMB,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5446
5447,Work package for Electricity Supplier Obligations (Green Excluded Electricity) (Amendment) Regulations 2023,,false,7zL5VRjW,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5447
5453,Work package for Non-Domestic Rating (Rates Retention: Miscellaneous Amendments) Regulations 2023,,false,vaRWgE0c,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5453
5457,Work package for Electricity Supplier Obligations (Excluded Electricity) (Amendment) Regulations 2023,,false,2zhh9fXr,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5457
5458,"Work package for Health Education England (Transfer of Functions, Abolition and Transitional Provisions) Regulations 2023",,false,LvDGkulz,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5458
5459,Work package for Treasure (Designation) (Amendment) Order 2023,,false,9cWNysJD,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5459
5469,Work package for Local Government and Elections (Wales) Act 2021 (Corporate Joint Committees) (Consequential Amendments) Order 2023,,false,tchH4KB9,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5469
5470,Work package for Service Police (Complaints etc.) Regulations 2023,,false,g1Syo9mX,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5470
5480,Work package for Economic Crime (Anti-Money Laundering) Levy (Amendment) Regulations 2023,,false,upj0CQJt,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5480
5485,Work package for Building (Public Bodies and Higher-Risk Building Work) (England) Regulations 2023,,false,ztO17EJi,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5485
5497,Work package for Legislative Reform (Provision of Information etc. Relating to Disabilities) Order 2022,,false,41Yk5jGn,47,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5497
5503,Work package for Merchant Shipping (Fire Protection) Regulations 2023,,false,3qIl9ySQ,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5503
5505,Work package for Flags (Northern Ireland) (Amendment) Regulations 2023,,false,nEAjR9W4,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5505
5506,Work package for Major Sporting Events (Income Tax Exemption) (Women?s Finalissima Football Match) Regulations 2023,,false,TtQC8kjF,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5506
5507,Work package for Licensing Act 2003 (Coronation Licensing Hours) Order 2023,,false,MbwgM4lS,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5507
5537,Work package for Microchipping of Cats and Dogs (England) Regulations 2023,,false,tj3uQ7PU,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5537
5546,"Work package for Register of Overseas Entities (Definition of Foreign Limited Partner, Protection and Rectification) Regulations 2023",,false,4cWW3j2O,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5546
5557,Work package for Windsor Framework (Democratic Scrutiny) Regulations 2023,,false,STGvaKYh,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5557
5565,Work package for Environmental Permitting (England and Wales) (Amendment) (England) Regulations 2023,,false,ebKM1zvX,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5565
5572,Work package for Financial Services and Markets Act 2000 (Financial Promotion) (Amendment) Order 2023,,false,6aNzdQdR,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5572
5576,Work package for Financial Services and Markets Act 2000 (Commodity Derivatives and Emission Allowances) Order 2023,,false,uPM59lh3,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5576
5579,Work package for Flags (Northern Ireland) (Amendment) Regulations 2023,,false,1MLy741h,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5579
5580,Work package for Houses in Multiple Occupation (Asylum-Seeker Accommodation) (England) Regulations 2023,,false,QhwWhRyx,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5580
5581,Work package for Public Service Vehicles (Accessible Information) Regulations 2023,,false,zutQvp9o,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5581
5591,"Work package for Police, Crime, Sentencing and Courts Act 2022 (Extraction of Information from Electronic Devices) (Amendment of Schedule 3) Regulations 2023",,false,8N3dZ3Y7,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5591
5593,Work package for Insider Dealing (Securities and Regulated Markets) Order 2023,,false,zKj5HCC3,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5593
5597,"Work package for Animal By-Products, Pet Passport and Animal Health (Fees) (England) (Amendment) Regulations 2023",,false,JWbi8uJq,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5597
5599,Work package for Maidstone (Electoral Changes) Order 2023,,false,a5DOLHaB,5,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5599
5600,Work package for Redditch (Electoral Changes) Order 2023,,false,HmiacgMO,5,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5600
5601,Work package for Stevenage (Electoral Changes) Order 2023,,false,BZnmoYkM,5,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5601
5606,Work package for REACH (Amendment) Regulations 2023,,false,XtTEMYJA,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5606
5607,Work package for Packaging Waste (Data Reporting) (England) (Amendment) Regulations 2023,,false,pTSUmsHB,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5607
5608,Work package for International Criminal Police Organisation (Immunities and Privileges) Order 2023,,false,1jUT3xfy,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5608
5614,Work package for Justice and Security (Northern Ireland) Act 2007 (Extension of Duration of Non-jury Trial Provisions) Order 2023,,false,BHxBAUG7,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5614
5615,Work package for Strategic Highways Company (Name Change and Consequential Amendments) Regulations 2023,,false,LxR8gHpZ,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5615
5616,Work package for Rehabilitation of Offenders Act 1974 (Exceptions) (Amendment) (England and Wales) Order 2023,,false,HaIt5AEI,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5616
5617,Work package for Building Safety (Responsible Actors Scheme and Prohibitions) Regulations 2023,,false,V5RjcCcg,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5617
5625,Work package for Register of Overseas Entities (Penalties and Northern Ireland Dispositions) Regulations 2023,,false,Yp5GwzEX,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5625
5626,Work package for Road Vehicles (Authorised Weight) (Amendment) Regulations 2023,,false,JAafOPue,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5626
5629,Work package for Animal Welfare (Electronic Collars) (England) Regulations 2023,,false,JTqCGOUW,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5629
5630,Work package for Amendments of the Law (Resolution of Silicon Valley Bank UK Limited) (No. 2) Order 2023,,false,NsNgFERP,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5630
5631,Work package for Medical Devices (Amendment) (Great Britain) Regulations 2023,,false,A0fkuQz7,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5631
5632,Work package for Public Order Act 1986 (Serious Disruption to the Life of the Community) Regulations 2023,,false,KXSSz85X,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:5632
