id,title,weblink,year,prefix,number,comingintoforcedate,comingintoforcenote,madedate,enabledby,precededbyproposedstatutoryinstrument,triplestoreid
150,Social Security (Industrial Injuries) (Prescribed Diseases) Amendment Regulations 2018,https://www.legislation.gov.uk/uksi/2018/769/made,2018,SI,769,2018-09-28,,2018-06-27,urn:procedure-editor:ActOfParliament:589,"",zfcsMSD3
151,State Pension Credit (Additional Amount for Child or Qualifying Young Person) (Amendment) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/676/made,2018,SI,676,2019-02-01,,2018-06-04,"urn:procedure-editor:ActOfParliament:794,urn:procedure-editor:ActOfParliament:589","",IYqCRJN5
152,Public Interest Disclosure (Prescribed Persons) (Amendment) Order 2018,https://www.legislation.gov.uk/uksi/2018/795/made,2018,SI,795,2018-08-01,,2018-06-28,urn:procedure-editor:ActOfParliament:1337,"",9Brknpn7
153,Merchant Shipping (Maritime Labour Convention) (Compulsory Financial Security) (Amendment) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/667/made,2018,SI,667,2018-07-12,,2018-05-31,"urn:procedure-editor:ActOfParliament:2419,urn:procedure-editor:ActOfParliament:411","",8xNcqHgV
154,Civil Enforcement of Parking Contraventions (England) General (Amendment) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/653/made,2018,SI,653,2018-06-18,,2018-05-23,urn:procedure-editor:ActOfParliament:938,"",nky6NCi1
155,Health Service Products (Provision and Disclosure of Information) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/677/made,2018,SI,677,,in accordance with regulation 1.,2018-06-05,urn:procedure-editor:ActOfParliament:1178,"",PyLlquNq
156,"Police, Fire and Crime Commissioner for Staffordshire (Fire and Rescue Authority) Order 2018",https://www.legislation.gov.uk/uksi/2018/696/made,2018,SI,696,2018-08-01,,2018-06-06,urn:procedure-editor:ActOfParliament:1075,"",PhwmELqG
159,Registration (Entries of Overseas Births and Deaths) (Amendment) Order 2018,https://www.legislation.gov.uk/uksi/2018/522/made,2018,SI,522,2018-05-22,,2018-04-24,urn:procedure-editor:ActOfParliament:1860,"",ITytkRlT
161,M6 Motorway (Junctions 16 to 19) (Variable Speed Limits) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/717/made,2018,SI,717,2018-07-06,,2018-06-11,urn:procedure-editor:ActOfParliament:1674,"",rdYNYrB9
166,Wildlife Licence Charges (England) Order 2018,https://www.legislation.gov.uk/uksi/2018/771/made,2018,SI,771,2018-10-01,,2018-06-26,urn:procedure-editor:ActOfParliament:1012,"",HZod54jz
167,Private Water Supplies (England) (Amendment) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/707/made,2018,SI,707,2018-07-11,,2018-06-14,"urn:procedure-editor:ActOfParliament:566,urn:procedure-editor:ActOfParliament:2419","",u2nfODML
168,"Civil Legal Aid (Procedure, Remuneration and Statutory Charge) (Amendment) Regulations 2018",https://www.legislation.gov.uk/uksi/2018/803/made,2018,SI,803,2018-09-01,,2018-07-02,urn:procedure-editor:ActOfParliament:1329,"",1aUCYOe7
169,Environment and Rural Affairs (Miscellaneous Revocations) Order 2018,https://www.legislation.gov.uk/uksi/2018/739/made,2018,SI,739,2018-07-11,,2018-06-19,"urn:procedure-editor:ActOfParliament:1817,urn:procedure-editor:ActOfParliament:1524,urn:procedure-editor:ActOfParliament:1036,urn:procedure-editor:ActOfParliament:2421","",4kSUJ4K2
170,National Health Service (Property Expenses Scheme) (England) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/757/made,2018,SI,757,2018-08-01,,2018-06-25,urn:procedure-editor:ActOfParliament:1178,"",RS3W2NQw
171,National Health Service (Existing Liabilities Scheme) (England) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/755/made,2018,SI,755,2018-08-01,,2018-06-25,urn:procedure-editor:ActOfParliament:1178,"",4GqD7K0p
172,Motor Vehicles (Driving Licences) (Amendment) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/784/made,2018,SI,784,2018-07-24,,2018-06-27,urn:procedure-editor:ActOfParliament:2419,"",C8kKvTBL
174,Scottish Administration (Offices) Order 2018,https://www.legislation.gov.uk/uksi/2018/781/made,2018,SI,781,,in accordance with article 1,2018-06-27,urn:procedure-editor:ActOfParliament:1289,"",zd4ymhhN
