id,inParliamentPeriod,number,label,startOn,endOn,wikidataID
164,38,5,Session 5 of Parliament 38,1948-10-26,1949-12-16,Q108992854
165,39,1,Session 1 of Parliament 39,1950-03-01,1950-10-26,Q108992839
166,39,2,Session 2 of Parliament 39,1950-10-31,1951-10-04,Q108992825
167,40,1,Session 1 of Parliament 40,1951-10-31,1952-10-30,Q108992807
168,40,2,Session 2 of Parliament 40,1952-11-04,1953-10-29,Q108992787
169,40,3,Session 3 of Parliament 40,1953-11-03,1954-11-25,Q108992771
170,40,4,Session 4 of Parliament 40,1954-11-30,1955-05-06,Q108992758
171,41,1,Session 1 of Parliament 41,1955-06-07,1956-11-05,Q108992757
172,41,2,Session 2 of Parliament 41,1956-11-06,1957-11-01,Q108992756
173,41,3,Session 3 of Parliament 41,1957-11-05,1958-10-23,Q108992755
174,41,4,Session 4 of Parliament 41,1958-10-28,1959-09-18,Q108992754
175,42,1,Session 1 of Parliament 42,1959-10-20,1960-10-27,Q108991060
176,42,2,Session 2 of Parliament 42,1960-11-01,1961-10-24,Q108991059
177,42,3,Session 3 of Parliament 42,1961-10-31,1962-10-25,Q108991057
178,42,4,Session 4 of Parliament 42,1962-10-30,1963-10-24,Q108991056
179,42,5,Session 5 of Parliament 42,1963-11-12,1964-07-31,Q108991054
180,43,1,Session 1 of Parliament 43,1964-10-27,1965-11-08,Q108991053
181,43,2,Session 2 of Parliament 43,1965-11-09,1966-03-10,Q108991052
182,44,1,Session 1 of Parliament 44,1966-04-18,1967-10-27,Q108991051
183,44,2,Session 2 of Parliament 44,1967-10-31,1968-10-25,Q108991050
184,44,3,Session 3 of Parliament 44,1968-10-30,1969-10-22,Q108991049
185,44,4,Session 4 of Parliament 44,1969-10-28,1970-05-29,Q108991048
186,45,1,Session 1 of Parliament 45,1970-06-29,1971-10-28,Q108991047
187,45,2,Session 2 of Parliament 45,1971-11-02,1972-10-26,Q108991046
188,45,3,Session 3 of Parliament 45,1972-10-31,1973-10-25,Q108991045
189,45,4,Session 4 of Parliament 45,1973-10-30,1974-02-08,Q108991044
190,46,1,Session 1 of Parliament 46,1974-03-06,1974-07-31,Q108991043
191,47,1,Session 1 of Parliament 47,1974-10-22,1975-11-12,Q108991042
192,47,2,Session 2 of Parliament 47,1975-11-19,1976-11-22,Q108991041
193,47,3,Session 3 of Parliament 47,1976-11-24,1977-10-26,Q108991040
194,47,4,Session 4 of Parliament 47,1977-11-03,1978-10-24,Q108991039
195,47,5,Session 5 of Parliament 47,1978-11-01,1979-04-04,Q108991038
196,48,1,Session 1 of Parliament 48,1979-05-09,1980-11-13,Q108991036
197,48,2,Session 2 of Parliament 48,1980-11-20,1981-10-30,Q108991035
198,48,3,Session 3 of Parliament 48,1981-11-04,1982-10-28,Q108991034
199,48,4,Session 4 of Parliament 48,1982-11-03,1983-05-13,Q108991027
200,49,1,Session 1 of Parliament 49,1983-06-15,1984-10-31,Q108991030
201,49,2,Session 2 of Parliament 49,1984-11-06,1985-10-30,Q108991029
202,49,3,Session 3 of Parliament 49,1985-11-06,1986-11-07,Q108991028
203,49,4,Session 4 of Parliament 49,1986-11-12,1987-05-15,Q108991027
204,50,1,Session 1 of Parliament 50,1987-06-17,1988-11-15,Q108991018
205,50,2,Session 2 of Parliament 50,1988-11-22,1989-11-16,Q108991016
206,50,3,Session 3 of Parliament 50,1989-11-21,1990-11-01,Q108991015
207,50,4,Session 4 of Parliament 50,1990-11-07,1991-10-22,Q108991014
208,50,5,Session 5 of Parliament 50,1991-10-31,1992-03-16,Q108991013
209,51,1,Session 1 of Parliament 51,1992-04-27,1993-11-05,Q108991012
210,51,2,Session 2 of Parliament 51,1993-11-18,1994-11-03,Q108991011
211,51,3,Session 3 of Parliament 51,1994-11-16,1995-11-08,Q108991010
212,51,4,Session 4 of Parliament 51,1995-11-15,1996-10-17,Q108991009
213,51,5,Session 5 of Parliament 51,1996-10-23,1997-03-21,Q108991008
214,52,1,Session 1 of Parliament 52,1997-05-07,1998-11-19,Q108991007
215,52,2,Session 2 of Parliament 52,1998-11-24,1999-11-11,Q108991006
216,52,3,Session 3 of Parliament 52,1999-11-17,2000-11-30,Q108991005
217,52,4,Session 4 of Parliament 52,2000-12-05,2001-05-11,Q108991003
218,53,1,Session 1 of Parliament 53,2001-06-13,2002-11-07,Q108991002
219,53,2,Session 2 of Parliament 53,2002-11-13,2003-11-20,Q108991001
220,53,3,Session 3 of Parliament 53,2003-11-26,2004-11-18,Q108991000
221,53,4,Session 4 of Parliament 53,2004-11-23,2005-04-07,Q108990999
222,54,1,Session 1 of Parliament 54,2005-05-11,2006-11-08,Q108990998
223,54,2,Session 2 of Parliament 54,2006-11-15,2007-10-30,Q108990997
224,54,3,Session 3 of Parliament 54,2007-11-06,2008-11-26,Q108990996
225,54,4,Session 4 of Parliament 54,2008-12-03,2009-11-12,Q108990995
226,54,5,Session 5 of Parliament 54,2009-11-18,2010-04-08,Q108990993
227,55,1,Session 1 of Parliament 55,2010-05-18,2012-05-01,Q108990992
228,55,2,Session 2 of Parliament 55,2012-05-09,2013-04-25,Q108990991
229,55,3,Session 3 of Parliament 55,2013-05-08,2014-05-14,Q108990989
230,55,4,Session 4 of Parliament 55,2014-06-04,2015-03-30,Q108990988
231,56,1,Session 1 of Parliament 56,2015-05-18,2016-05-12,Q108990875
232,56,2,Session 2 of Parliament 56,2016-05-18,2017-04-27,Q108990867
233,57,1,Session 1 of Parliament 57,2017-06-13,2019-10-08,Q108990856
234,57,2,Session 2 of Parliament 57,2019-10-14,2019-11-05,Q108990847
235,58,1,Session 1 of Parliament 58,2019-12-17,2021-04-29,Q108990830
236,58,2,Session 2 of Parliament 58,2021-05-11,2022-04-28,Q108990808
237,58,3,Session 3 of Parliament 58,2022-05-10,2023-10-26,Q124612314
238,58,4,Session 4 of Parliament 58,2023-11-07,2024-05-24,Q125399435
239,59,1,Session 1 of Parliament 59,2024-07-09,,Q126074934
